"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\Павел\Desktop\ProfUnion\Data\DataContext.cs", "C#", 136, 0, 40, 176
"c:\Users\Павел\Desktop\ProfUnion\Data\MessagesContext.cs", "C#", 26, 0, 12, 38
"Total", "-", 162, 0, 52, 214
