"filename", "language", "JSON", "Solution File", "C#", "MSBuild", "Properties", "SQL", "comment", "blank", "total"
"c:\Users\Павел\Desktop\ProfUnion\Helper\MappingNews.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\Павел\Desktop\ProfUnion\Helper\MappingProfiles.cs", "C#", 0, 0, 24, 0, 0, 0, 0, 8, 32
"c:\Users\Павел\Desktop\ProfUnion\Helper\MappingReservation.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 5, 23
"c:\Users\Павел\Desktop\ProfUnion\Helper\MappingUploads.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 6, 20
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\ApplicationInterface\IApplicationRepository.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\ApplicationInterface\IRejectedApplicationRepository.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\CategoryInterface\ICategoriesRepository.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\Communications\ICommentRepository.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\EventInterface\IEventRepository.cs", "C#", 0, 0, 16, 0, 0, 0, 1, 2, 19
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\EventInterface\IReservationList.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\FileInterface\IFileRepository.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\IEmailSender.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\MessageInterface\IMessagesRepository.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\NewsInterface\INewsRepository.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 5, 19
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\ReportInterface\IReportRepository.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\Павел\Desktop\ProfUnion\Interfaces\UserInterface\IUserRepository.cs", "C#", 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\Users\Павел\Desktop\ProfUnion\Migrations\20240218151740_InitialCreate.Designer.cs", "C#", 0, 0, 39, 0, 0, 0, 2, 11, 52
"c:\Users\Павел\Desktop\ProfUnion\Migrations\20240218151740_InitialCreate.cs", "C#", 0, 0, 19, 0, 0, 0, 5, 5, 29
"c:\Users\Павел\Desktop\ProfUnion\Migrations\DataContextModelSnapshot.cs", "C#", 0, 0, 37, 0, 0, 0, 1, 11, 49
"c:\Users\Павел\Desktop\ProfUnion\Models\Application\Application.cs", "C#", 0, 0, 27, 0, 0, 0, 0, 6, 33
"c:\Users\Павел\Desktop\ProfUnion\Models\Application\RejectedApplication.cs", "C#", 0, 0, 26, 0, 0, 0, 0, 5, 31
"c:\Users\Павел\Desktop\ProfUnion\Models\Category\Categories.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\Павел\Desktop\ProfUnion\Models\Category\EventCategories.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 4, 15
"c:\Users\Павел\Desktop\ProfUnion\Models\CommunicationsModels\Comments.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\Павел\Desktop\ProfUnion\Models\CommunicationsModels\Report.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\Павел\Desktop\ProfUnion\Models\Events\Event.cs", "C#", 0, 0, 26, 0, 0, 0, 2, 7, 35
"c:\Users\Павел\Desktop\ProfUnion\Models\Events\ReservationList.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 4, 29
"c:\Users\Павел\Desktop\ProfUnion\Models\Messages.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\Павел\Desktop\ProfUnion\Models\NewsModel\News.cs", "C#", 0, 0, 18, 0, 0, 0, 2, 5, 25
"c:\Users\Павел\Desktop\ProfUnion\Models\UserModels\User.cs", "C#", 0, 0, 23, 0, 0, 0, 2, 4, 29
"c:\Users\Павел\Desktop\ProfUnion\Models\uploadsModels\EventUploads.cs", "C#", 0, 0, 0, 0, 0, 0, 15, 0, 15
"c:\Users\Павел\Desktop\ProfUnion\Models\uploadsModels\NewsUploads.cs", "C#", 0, 0, 0, 0, 0, 0, 16, 0, 16
"c:\Users\Павел\Desktop\ProfUnion\Models\uploadsModels\Uploads.cs", "C#", 0, 0, 10, 0, 0, 0, 2, 1, 13
"c:\Users\Павел\Desktop\ProfUnion\Profunion.csproj", "MSBuild", 0, 0, 0, 46, 0, 0, 0, 7, 53
"c:\Users\Павел\Desktop\ProfUnion\Profunion.sln", "Solution File", 0, 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\Павел\Desktop\ProfUnion\Program.cs", "C#", 0, 0, 110, 0, 0, 0, 4, 17, 131
"c:\Users\Павел\Desktop\ProfUnion\Properties\launchSettings.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\Павел\Desktop\ProfUnion\Seed.cs", "C#", 0, 0, 30, 0, 0, 0, 0, 5, 35
"c:\Users\Павел\Desktop\ProfUnion\Services\AdditionalServices\Helpers.cs", "C#", 0, 0, 125, 0, 0, 0, 1, 31, 157
"c:\Users\Павел\Desktop\ProfUnion\Services\ApplicationServices\ApplicationRepository.cs", "C#", 0, 0, 98, 0, 0, 0, 6, 18, 122
"c:\Users\Павел\Desktop\ProfUnion\Services\ApplicationServices\RejectedApplicationRepository .cs", "C#", 0, 0, 48, 0, 0, 0, 1, 10, 59
"c:\Users\Павел\Desktop\ProfUnion\Services\CategoryServices\CategoriesRepository.cs", "C#", 0, 0, 48, 0, 0, 0, 0, 16, 64
"c:\Users\Павел\Desktop\ProfUnion\Services\CommunicationsServicres\Comment.cs", "C#", 0, 0, 35, 0, 0, 0, 0, 6, 41
"c:\Users\Павел\Desktop\ProfUnion\Services\EventServices\EventRepository.cs", "C#", 0, 0, 117, 0, 0, 0, 0, 20, 137
"c:\Users\Павел\Desktop\ProfUnion\Services\EventServices\ReservationListRepository.cs", "C#", 0, 0, 106, 0, 0, 0, 1, 16, 123
"c:\Users\Павел\Desktop\ProfUnion\Services\FileServices\FileRepository.cs", "C#", 0, 0, 101, 0, 0, 0, 5, 31, 137
"c:\Users\Павел\Desktop\ProfUnion\Services\MailServices\EmailSender.cs", "C#", 0, 0, 105, 0, 0, 0, 0, 20, 125
"c:\Users\Павел\Desktop\ProfUnion\Services\MessagesServices\MessagesRepository.cs", "C#", 0, 0, 29, 0, 0, 0, 0, 6, 35
"c:\Users\Павел\Desktop\ProfUnion\Services\MessagesServices\WebSocketManagerMiddleware.cs", "C#", 0, 0, 87, 0, 0, 0, 1, 15, 103
"c:\Users\Павел\Desktop\ProfUnion\Services\NewsService\NewsRepository.cs", "C#", 0, 0, 77, 0, 0, 0, 0, 15, 92
"c:\Users\Павел\Desktop\ProfUnion\Services\ReportService\ReportRepository.cs", "C#", 0, 0, 137, 0, 0, 0, 9, 26, 172
"c:\Users\Павел\Desktop\ProfUnion\Services\UserServices\GenerateMultipleJWT.cs", "C#", 0, 0, 70, 0, 0, 0, 11, 21, 102
"c:\Users\Павел\Desktop\ProfUnion\Services\UserServices\HashingPassword.cs", "C#", 0, 0, 45, 0, 0, 0, 2, 9, 56
"c:\Users\Павел\Desktop\ProfUnion\Services\UserServices\UserRepository.cs", "C#", 0, 0, 172, 0, 0, 0, 1, 45, 218
"c:\Users\Павел\Desktop\ProfUnion\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Павел\Desktop\ProfUnion\appsettings.json", "JSON", 19, 0, 0, 0, 0, 0, 1, 1, 21
